EvolutionId,EvolutionDescription,Abilities,Price,RequireLevel
knight_evolve_1,,summon_skill,10,0
knight_evolve_2,,"summon_skill,FightForeverPassiveSkill",10,11
knight_evolve_3,,"summon_skill,GreatAdmiralPassiveSkill",10,31
wizard_evolve_1,,wizard_attack_skill,10,0
wizard_evolve_2,,"wizard_attack_skill,HealingManaPassiveSkill",10,0
wizard_evolve_3,,"wizard_attack_skill,HealingHealthPassiveSkill",10,0
green_leaf_evolve_1,,sylvan_wrath,10,0
green_leaf_evolve_2,,"sylvan_wrath,HunterZonePassiveSkill",10,0
green_leaf_evolve_3,,"sylvan_wrath,ElvenMarkPassiveSkill",10,0
gray_mage_evolve_1,,god_realm,10,0
gray_mage_evolve_2,,"god_realm,GodLightPassiveSkill",10,0
gray_mage_evolve_3,,"god_realm,GodApperancePassiveSkill",10,0
shadow_evolve_1,,cursed_volley,10,0
shadow_evolve_2,,"cursed_volley,DeadlyArrowPassiveSkill",10,0
shadow_evolve_3,,"cursed_volley,TheFearPassiveSkill",10,0
judge_evolve_1,,justice_sanction_skill,10,0
judge_evolve_2,,"justice_sanction_skill,IntimidationPassiveSkill",10,0
judge_evolve_3,,"justice_sanction_skill,ControlGravityPassiveSkill",10,0
arise_evolve_1,,skeleton_army,10,0
arise_evolve_2,,"skeleton_army,ShadowLord",10,0
arise_evolve_3,,"skeleton_army,DarknessArise",10,0
hassan_evolve_1,,rasen_shuriken_skill,10,0
hassan_evolve_2,,"rasen_shuriken_skill,LightFootPassiveSkill",10,0
hassan_evolve_3,,"rasen_shuriken_skill,StealthPassiveSkill",10,0
moon_shadow_evolve_1,,death_scythe,10,0
moon_shadow_evolve_2,,"death_scythe,PiercingScythe",10,0
moon_shadow_evolve_3,,"death_scythe,BloodScythe",10,0
storm_evolve_1,,golden_thunder_skill,10,0
storm_evolve_2,,"golden_thunder_skill,ObscurePassiveSkill",10,0
storm_evolve_3,,"golden_thunder_skill,ForesightPassiveSkill",10,0
xelNaga_evolve_1,,summon_skill,10,0
